component,location,carrier,0
Generator,AL0 0,load,inf
Generator,AL0 0,offwind-ac,17.90475
Generator,AL0 0,offwind-dc,83.81889
Generator,AL0 0,onwind,6.62565
Generator,AL0 0,ror,48.2
Generator,AL0 0,solar,53962.78416
Generator,AL0 0,solar rooftop,593.56985
Generator,AL0 0,solar-hsat,43.88626
Generator,AT0 0,load,inf
Generator,AT0 0,onwind,10.6949
Generator,AT0 0,ror,4468.08037
Generator,AT0 0,solar,175943.12589
Generator,AT0 0,solar rooftop,18104.53432
Generator,AT0 0,solar-hsat,71.89317
Generator,BA0 0,load,inf
Generator,BA0 0,offwind-ac,1.32324
Generator,BA0 0,onwind,3.94592
Generator,BA0 0,solar,12380.76615
Generator,BA0 0,solar rooftop,63.73416
Generator,BA0 0,solar-hsat,50.67521
Generator,BE0 0,load,inf
Generator,BE0 0,nuclear,0.64783
Generator,BE0 0,offwind-ac,831.19358
Generator,BE0 0,offwind-dc,871.00045
Generator,BE0 0,onwind,15232.63067
Generator,BE0 0,ror,59.01534
Generator,BE0 0,solar,105895.12126
Generator,BE0 0,solar rooftop,47.40659
Generator,BE0 0,solar-hsat,63.59321
Generator,BG0 0,load,inf
Generator,BG0 0,nuclear,0.62825
Generator,BG0 0,offwind-ac,17.21935
Generator,BG0 0,offwind-dc,32.85128
Generator,BG0 0,onwind,16.80751
Generator,BG0 0,ror,110.4
Generator,BG0 0,solar,58144.46519
Generator,BG0 0,solar rooftop,262.91438
Generator,BG0 0,solar-hsat,60.9232
Generator,CH0 0,load,inf
Generator,CH0 0,nuclear,0.5899
Generator,CH0 0,onwind,3.14921
Generator,CH0 0,ror,4202.6208
Generator,CH0 0,solar,125260.60042
Generator,CH0 0,solar rooftop,16184.98087
Generator,CH0 0,solar-hsat,90.20612
Generator,CZ0 0,load,inf
Generator,CZ0 0,nuclear,0.71005
Generator,CZ0 0,onwind,42.51296
Generator,CZ0 0,ror,40.22638
Generator,CZ0 0,solar,9152.11078
Generator,CZ0 0,solar rooftop,54.35363
Generator,CZ0 0,solar-hsat,64.71253
Generator,DE0 0,load,inf
Generator,DE0 0,nuclear,0.78598
Generator,DE0 0,offwind-ac,2103.74334
Generator,DE0 0,offwind-dc,21541.75628
Generator,DE0 0,onwind,48261.48004
Generator,DE0 0,ror,1643.34253
Generator,DE0 0,solar,51460.18645
Generator,DE0 0,solar rooftop,84.10827
Generator,DE0 0,solar-hsat,86.63179
Generator,DE0 1,load,inf
Generator,DE0 1,nuclear,0.76882
Generator,DE0 1,offwind-ac,2268.01606
Generator,DE0 1,offwind-dc,268.40368
Generator,DE0 1,onwind,21.82741
Generator,DE0 1,ror,3593.68631
Generator,DE0 1,solar,370141.14957
Generator,DE0 1,solar rooftop,77.23536
Generator,DE0 1,solar-hsat,73.17622
Generator,DK0 0,load,inf
Generator,DK0 0,offwind-ac,8.62838
Generator,DK0 0,offwind-dc,14.19724
Generator,DK0 0,onwind,64525.4302
Generator,DK0 0,solar,62.04769
Generator,DK0 0,solar rooftop,15.74152
Generator,DK0 0,solar-hsat,38.41985
Generator,DK1 0,load,inf
Generator,DK1 0,offwind-ac,15.16051
Generator,DK1 0,offwind-dc,5.80038
Generator,DK1 0,onwind,16035.28214
Generator,DK1 0,solar,323.61949
Generator,DK1 0,solar rooftop,28.83308
Generator,DK1 0,solar-hsat,41.56068
Generator,EE0 0,load,inf
Generator,EE0 0,offwind-ac,12.57039
Generator,EE0 0,offwind-dc,7.99851
Generator,EE0 0,onwind,11222.15916
Generator,EE0 0,solar,6796.54546
Generator,EE0 0,solar rooftop,55.47166
Generator,EE0 0,solar-hsat,54.72576
Generator,ES0 0,load,inf
Generator,ES0 0,nuclear,0.4562
Generator,ES0 0,offwind-ac,6.05553
Generator,ES0 0,offwind-dc,6.61063
Generator,ES0 0,onwind,40.33971
Generator,ES0 0,ror,130.0
Generator,ES0 0,solar,1084083.71643
Generator,ES0 0,solar rooftop,83326.76359
Generator,ES0 0,solar-hsat,81.93295
Generator,ES6 0,load,inf
Generator,ES6 0,nuclear,0.47134
Generator,ES6 0,offwind-ac,3.71754
Generator,ES6 0,offwind-dc,3.70316
Generator,ES6 0,onwind,3290.79669
Generator,ES6 0,ror,147.00825
Generator,ES6 0,solar,170.33426
Generator,ES6 0,solar rooftop,1375.65687
Generator,ES6 0,solar-hsat,28.7603
Generator,EU,biogas,347323678.55875
Generator,EU,load,inf
Generator,EU,solid biomass,1049092861.83616
Generator,FI1 0,load,inf
Generator,FI1 0,nuclear,0.68152
Generator,FI1 0,offwind-ac,20.51124
Generator,FI1 0,offwind-dc,35605.21042
Generator,FI1 0,onwind,17.77123
Generator,FI1 0,ror,1470.6
Generator,FI1 0,solar,85.69914
Generator,FI1 0,solar rooftop,24.58537
Generator,FI1 0,solar-hsat,48.76003
Generator,FR0 0,load,inf
Generator,FR0 0,nuclear,0.50751
Generator,FR0 0,offwind-ac,974.446
Generator,FR0 0,offwind-dc,113169.08112
Generator,FR0 0,onwind,32.2853
Generator,FR0 0,ror,6830.08473
Generator,FR0 0,solar,898232.92868
Generator,FR0 0,solar rooftop,152.308
Generator,FR0 0,solar-hsat,79.41142
Generator,FR5 0,load,inf
Generator,FR5 0,offwind-ac,5.90062
Generator,FR5 0,offwind-dc,9.16581
Generator,FR5 0,onwind,16.46038
Generator,FR5 0,ror,148.06013
Generator,FR5 0,solar,10970.09193
Generator,FR5 0,solar rooftop,527.83782
Generator,FR5 0,solar-hsat,25.59903
Generator,GB2 0,load,inf
Generator,GB2 0,nuclear,0.57043
Generator,GB2 0,offwind-ac,46611.4825
Generator,GB2 0,offwind-dc,9.38409
Generator,GB2 0,onwind,376439.35016
Generator,GB2 0,ror,2203.275
Generator,GB2 0,solar,124.77176
Generator,GB2 0,solar rooftop,49.65126
Generator,GB2 0,solar-hsat,52.71317
Generator,GB3 0,load,inf
Generator,GB3 0,nuclear,0.52008
Generator,GB3 0,offwind-ac,5659.93404
Generator,GB3 0,offwind-dc,11.07536
Generator,GB3 0,onwind,17453.4011
Generator,GB3 0,ror,1432.9
Generator,GB3 0,solar,34.25493
Generator,GB3 0,solar rooftop,12.15979
Generator,GB3 0,solar-hsat,23.52477
Generator,GR0 0,load,inf
Generator,GR0 0,offwind-ac,6.73536
Generator,GR0 0,offwind-dc,7.29379
Generator,GR0 0,onwind,5457.05105
Generator,GR0 0,ror,103.1
Generator,GR0 0,solar,214895.63565
Generator,GR0 0,solar rooftop,16217.21433
Generator,GR0 0,solar-hsat,68.32655
Generator,HR0 0,load,inf
Generator,HR0 0,offwind-ac,10.95452
Generator,HR0 0,offwind-dc,11.54728
Generator,HR0 0,onwind,14.52407
Generator,HR0 0,ror,278.66773
Generator,HR0 0,solar,1100.45902
Generator,HR0 0,solar rooftop,74.19684
Generator,HR0 0,solar-hsat,45.58165
Generator,HU0 0,load,inf
