component,location,carrier,0
Generator,AL0 0,load,inf
Generator,AL0 0,offwind-ac,4141.03752
Generator,AL0 0,offwind-dc,5524.00362
Generator,AL0 0,onwind,0.07069
Generator,AL0 0,ror,48.2
Generator,AL0 0,solar,1.03482
Generator,AL0 0,solar rooftop,2.60375
Generator,AL0 0,solar-hsat,0.36479
Generator,AT0 0,load,inf
Generator,AT0 0,onwind,0.07905
Generator,AT0 0,ror,4468.08037
Generator,AT0 0,solar,176043.9293
Generator,AT0 0,solar rooftop,390.2493
Generator,AT0 0,solar-hsat,0.71385
Generator,BA0 0,load,inf
Generator,BA0 0,offwind-ac,0.03895
Generator,BA0 0,onwind,0.04019
Generator,BA0 0,solar,1.09928
Generator,BA0 0,solar rooftop,0.43255
Generator,BA0 0,solar-hsat,0.39118
Generator,BE0 0,load,inf
Generator,BE0 0,offwind-ac,831.48106
Generator,BE0 0,offwind-dc,871.22778
Generator,BE0 0,onwind,1.11685
Generator,BE0 0,ror,59.01534
Generator,BE0 0,solar,0.82899
Generator,BE0 0,solar rooftop,0.42794
Generator,BE0 0,solar-hsat,0.35378
Generator,BG0 0,load,inf
Generator,BG0 0,offwind-ac,0.12047
Generator,BG0 0,offwind-dc,3912.97155
Generator,BG0 0,onwind,0.09935
Generator,BG0 0,ror,110.4
Generator,BG0 0,solar,2.3667
Generator,BG0 0,solar rooftop,0.95019
Generator,BG0 0,solar-hsat,0.51326
Generator,CH0 0,load,inf
Generator,CH0 0,onwind,0.02769
Generator,CH0 0,ror,4202.6208
Generator,CH0 0,solar,125368.48032
Generator,CH0 0,solar rooftop,16186.29828
Generator,CH0 0,solar-hsat,0.86502
Generator,CZ0 0,load,inf
Generator,CZ0 0,onwind,0.14718
Generator,CZ0 0,ror,40.22638
Generator,CZ0 0,solar,0.506
Generator,CZ0 0,solar rooftop,0.28177
Generator,CZ0 0,solar-hsat,0.28029
Generator,DE0 0,load,inf
Generator,DE0 0,offwind-ac,2104.11654
Generator,DE0 0,offwind-dc,21545.13728
Generator,DE0 0,onwind,0.19435
Generator,DE0 0,ror,1643.34253
Generator,DE0 0,solar,0.63366
Generator,DE0 0,solar rooftop,0.38326
Generator,DE0 0,solar-hsat,0.32637
Generator,DE0 1,load,inf
Generator,DE0 1,offwind-ac,2268.16129
Generator,DE0 1,offwind-dc,268.44272
Generator,DE0 1,onwind,0.09025
Generator,DE0 1,ror,3593.68631
Generator,DE0 1,solar,1.40232
Generator,DE0 1,solar rooftop,0.56802
Generator,DE0 1,solar-hsat,0.4167
Generator,DK0 0,load,inf
Generator,DK0 0,offwind-ac,0.15507
Generator,DK0 0,offwind-dc,0.55026
Generator,DK0 0,onwind,6920.93008
Generator,DK0 0,solar,0.179
Generator,DK0 0,solar rooftop,0.10841
Generator,DK0 0,solar-hsat,0.13528
Generator,DK1 0,load,inf
Generator,DK1 0,offwind-ac,10849.06162
Generator,DK1 0,offwind-dc,2914.42333
Generator,DK1 0,onwind,16035.77688
Generator,DK1 0,solar,0.30873
Generator,DK1 0,solar rooftop,0.19219
Generator,DK1 0,solar-hsat,0.18079
Generator,EE0 0,load,inf
Generator,EE0 0,offwind-ac,0.34742
Generator,EE0 0,offwind-dc,0.15209
Generator,EE0 0,onwind,27014.18224
Generator,EE0 0,solar,0.18959
Generator,EE0 0,solar rooftop,0.11928
Generator,EE0 0,solar-hsat,0.13184
Generator,ES0 0,load,inf
Generator,ES0 0,offwind-ac,0.07449
Generator,ES0 0,offwind-dc,0.07705
Generator,ES0 0,onwind,83669.21283
Generator,ES0 0,ror,130.0
Generator,ES0 0,solar,297405.93447
Generator,ES0 0,solar rooftop,67411.06954
Generator,ES0 0,solar-hsat,0.81219
Generator,ES6 0,load,inf
Generator,ES6 0,offwind-ac,0.04439
Generator,ES6 0,offwind-dc,0.03992
Generator,ES6 0,onwind,1265.13726
Generator,ES6 0,ror,147.00825
Generator,ES6 0,solar,0.44965
Generator,ES6 0,solar rooftop,0.46818
Generator,ES6 0,solar-hsat,0.22582
Generator,EU,load,inf
Generator,FI1 0,load,inf
Generator,FI1 0,offwind-ac,2638.67369
Generator,FI1 0,offwind-dc,44870.24959
Generator,FI1 0,onwind,1.77961
Generator,FI1 0,ror,1470.6
Generator,FI1 0,solar,0.16096
Generator,FI1 0,solar rooftop,0.11878
Generator,FI1 0,solar-hsat,0.12751
Generator,FR0 0,load,inf
Generator,FR0 0,offwind-ac,0.20575
Generator,FR0 0,offwind-dc,211107.60225
Generator,FR0 0,onwind,0.1249
Generator,FR0 0,ror,6830.08473
Generator,FR0 0,solar,0.68175
Generator,FR0 0,solar rooftop,0.46638
Generator,FR0 0,solar-hsat,0.35033
Generator,FR5 0,load,inf
Generator,FR5 0,offwind-ac,0.05043
Generator,FR5 0,offwind-dc,0.06558
Generator,FR5 0,onwind,0.0858
Generator,FR5 0,ror,148.06013
Generator,FR5 0,solar,11000.22469
Generator,FR5 0,solar rooftop,457.37085
Generator,FR5 0,solar-hsat,0.41281
Generator,GB2 0,load,inf
Generator,GB2 0,offwind-ac,111568.40856
Generator,GB2 0,offwind-dc,0.09898
Generator,GB2 0,onwind,78042.38181
Generator,GB2 0,ror,2203.275
Generator,GB2 0,solar,0.26821
Generator,GB2 0,solar rooftop,0.20985
Generator,GB2 0,solar-hsat,0.18292
Generator,GB3 0,load,inf
Generator,GB3 0,offwind-ac,5662.98356
Generator,GB3 0,offwind-dc,14667.80093
Generator,GB3 0,onwind,16880.03344
Generator,GB3 0,ror,1432.9
Generator,GB3 0,solar,0.14912
Generator,GB3 0,solar rooftop,0.09183
Generator,GB3 0,solar-hsat,0.11466
Generator,GR0 0,load,inf
Generator,GR0 0,offwind-ac,0.07408
Generator,GR0 0,offwind-dc,0.08598
Generator,GR0 0,onwind,10134.77896
Generator,GR0 0,ror,103.1
Generator,GR0 0,solar,120753.88688
Generator,GR0 0,solar rooftop,16219.43337
Generator,GR0 0,solar-hsat,0.75351
Generator,HR0 0,load,inf
Generator,HR0 0,offwind-ac,2089.25638
Generator,HR0 0,offwind-dc,1.37598
Generator,HR0 0,onwind,0.19838
Generator,HR0 0,ror,278.66773
Generator,HR0 0,solar,0.53632
Generator,HR0 0,solar rooftop,0.334
Generator,HR0 0,solar-hsat,0.27205
Generator,HU0 0,load,inf
Generator,HU0 0,onwind,63296.96423
Generator,HU0 0,ror,19.7
Generator,HU0 0,solar,0.41117
Generator,HU0 0,solar rooftop,0.2569
Generator,HU0 0,solar-hsat,0.24668
Generator,IE3 0,load,inf
Generator,IE3 0,offwind-ac,48088.84517
Generator,IE3 0,offwind-dc,26123.94272
Generator,IE3 0,onwind,0.30249
Generator,IE3 0,ror,216.0
Generator,IE3 0,solar,0.20951
Generator,IE3 0,solar rooftop,0.13851
Generator,IE3 0,solar-hsat,0.15655
Generator,IT0 0,load,inf
Generator,IT0 0,offwind-ac,0.0811
Generator,IT0 0,offwind-dc,117070.26422
Generator,IT0 0,onwind,0.2468
Generator,IT0 0,ror,7742.44
Generator,IT0 0,solar,146129.80618
Generator,IT0 0,solar rooftop,10.70375
Generator,IT0 0,solar-hsat,0.76539
Generator,IT4 0,load,inf
Generator,IT4 0,offwind-ac,0.10164
Generator,IT4 0,offwind-dc,0.11383
Generator,IT4 0,onwind,10384.25049
Generator,IT4 0,ror,129.1
Generator,IT4 0,solar,38968.69929
Generator,IT4 0,solar rooftop,2672.68051
Generator,IT4 0,solar-hsat,0.5025
Generator,LT0 0,load,inf
Generator,LT0 0,offwind-ac,0.09183
Generator,LT0 0,offwind-dc,0.26315
Generator,LT0 0,onwind,0.12425
Generator,LT0 0,ror,101.0
Generator,LT0 0,solar,0.41135
Generator,LT0 0,solar rooftop,0.23918
Generator,LT0 0,solar-hsat,0.25336
Generator,LU0 0,load,inf
Generator,LU0 0,onwind,0.07586
Generator,LU0 0,solar,1.51276
Generator,LU0 0,solar rooftop,0.42783
Generator,LU0 0,solar-hsat,0.34141
Generator,LV0 0,load,inf
Generator,LV0 0,offwind-ac,0.15443
Generator,LV0 0,offwind-dc,0.63218
Generator,LV0 0,onwind,0.2061
Generator,LV0 0,ror,1536.1
Generator,LV0 0,solar,0.44066
Generator,LV0 0,solar rooftop,0.25098
Generator,LV0 0,solar-hsat,0.23298
Generator,ME0 0,load,inf
Generator,ME0 0,offwind-ac,3038.96898
Generator,ME0 0,offwind-dc,2206.52979
Generator,ME0 0,onwind,0.03739
Generator,ME0 0,ror,5.36
Generator,ME0 0,solar,1.5339
Generator,ME0 0,solar rooftop,0.87854
Generator,ME0 0,solar-hsat,0.38558
Generator,MK0 0,load,inf
Generator,MK0 0,onwind,0.02436
Generator,MK0 0,ror,191.6
Generator,MK0 0,solar,13850.363
Generator,MK0 0,solar rooftop,1147.03797
Generator,MK0 0,solar-hsat,0.47408
Generator,NL0 0,load,inf
Generator,NL0 0,offwind-ac,3817.06058
Generator,NL0 0,offwind-dc,3567.84805
Generator,NL0 0,onwind,8839.74004
Generator,NL0 0,solar,0.55759
Generator,NL0 0,solar rooftop,0.33101
