component,location,carrier,0
Generator,AL0 0,load,inf
Generator,AL0 0,offwind-ac,8.79022
Generator,AL0 0,offwind-dc,18.0334
Generator,AL0 0,onwind,4.28556
Generator,AL0 0,ror,48.2
Generator,AL0 0,solar,45547.85155
Generator,AL0 0,solar rooftop,692.36684
Generator,AL0 0,solar-hsat,38.25078
Generator,AT0 0,load,inf
Generator,AT0 0,onwind,9.58299
Generator,AT0 0,ror,4468.08037
Generator,AT0 0,solar,175975.83201
Generator,AT0 0,solar rooftop,18109.28514
Generator,AT0 0,solar-hsat,57.23541
Generator,BA0 0,load,inf
Generator,BA0 0,offwind-ac,1.34647
Generator,BA0 0,onwind,2.61413
Generator,BA0 0,solar,15223.554
Generator,BA0 0,solar rooftop,78.01748
Generator,BA0 0,solar-hsat,41.80049
Generator,BE0 0,load,inf
Generator,BE0 0,offwind-ac,831.45611
Generator,BE0 0,offwind-dc,871.20583
Generator,BE0 0,onwind,15234.88199
Generator,BE0 0,ror,59.01534
Generator,BE0 0,solar,106377.54991
Generator,BE0 0,solar rooftop,53.73476
Generator,BE0 0,solar-hsat,51.63967
Generator,BG0 0,load,inf
Generator,BG0 0,offwind-ac,15.40421
Generator,BG0 0,offwind-dc,29.68318
Generator,BG0 0,onwind,11.27612
Generator,BG0 0,ror,110.4
Generator,BG0 0,solar,67271.64617
Generator,BG0 0,solar rooftop,446.62984
Generator,BG0 0,solar-hsat,53.45597
Generator,CH0 0,load,inf
Generator,CH0 0,onwind,1.94148
Generator,CH0 0,ror,4202.6208
Generator,CH0 0,solar,125283.22793
Generator,CH0 0,solar rooftop,16185.60371
Generator,CH0 0,solar-hsat,73.31346
Generator,CZ0 0,load,inf
Generator,CZ0 0,onwind,49.03752
Generator,CZ0 0,ror,40.22638
Generator,CZ0 0,solar,27007.85686
Generator,CZ0 0,solar rooftop,50.46371
Generator,CZ0 0,solar-hsat,55.21945
Generator,DE0 0,load,inf
Generator,DE0 0,offwind-ac,2104.04416
Generator,DE0 0,offwind-dc,21544.73017
Generator,DE0 0,onwind,70452.96546
Generator,DE0 0,ror,1643.34253
Generator,DE0 0,solar,28715.59047
Generator,DE0 0,solar rooftop,78.57091
Generator,DE0 0,solar-hsat,69.91276
Generator,DE0 1,load,inf
Generator,DE0 1,offwind-ac,2268.12888
Generator,DE0 1,offwind-dc,268.43482
Generator,DE0 1,onwind,21.74984
Generator,DE0 1,ror,3593.68631
Generator,DE0 1,solar,376935.99015
Generator,DE0 1,solar rooftop,84.98292
Generator,DE0 1,solar-hsat,59.38158
Generator,DK0 0,load,inf
Generator,DK0 0,offwind-ac,6.76563
Generator,DK0 0,offwind-dc,11.10297
Generator,DK0 0,onwind,64527.67687
Generator,DK0 0,solar,55.69341
Generator,DK0 0,solar rooftop,15.56548
Generator,DK0 0,solar-hsat,32.44363
Generator,DK1 0,load,inf
Generator,DK1 0,offwind-ac,23.38442
Generator,DK1 0,offwind-dc,7.70131
Generator,DK1 0,onwind,16035.69206
Generator,DK1 0,solar,985.24045
Generator,DK1 0,solar rooftop,31.46357
Generator,DK1 0,solar-hsat,39.04059
Generator,EE0 0,load,inf
Generator,EE0 0,offwind-ac,9.01114
Generator,EE0 0,offwind-dc,6.56617
Generator,EE0 0,onwind,9246.9175
Generator,EE0 0,solar,8314.32516
Generator,EE0 0,solar rooftop,67.24529
Generator,EE0 0,solar-hsat,53.95569
Generator,ES0 0,load,inf
Generator,ES0 0,offwind-ac,5.0307
Generator,ES0 0,offwind-dc,3.66626
Generator,ES0 0,onwind,57.904
Generator,ES0 0,ror,130.0
Generator,ES0 0,solar,868802.53526
Generator,ES0 0,solar rooftop,83341.79112
Generator,ES0 0,solar-hsat,64.58897
Generator,ES6 0,load,inf
Generator,ES6 0,offwind-ac,2.74886
Generator,ES6 0,offwind-dc,2.99928
Generator,ES6 0,onwind,1950.11353
Generator,ES6 0,ror,147.00825
Generator,ES6 0,solar,110.40974
Generator,ES6 0,solar rooftop,1370.17207
Generator,ES6 0,solar-hsat,25.06734
Generator,EU,biogas,347323678.55875
Generator,EU,load,inf
Generator,EU,solid biomass,1049092861.83616
Generator,FI1 0,load,inf
Generator,FI1 0,offwind-ac,19.43858
Generator,FI1 0,offwind-dc,39349.52871
Generator,FI1 0,onwind,12.34077
Generator,FI1 0,ror,1470.6
Generator,FI1 0,solar,97.53776
Generator,FI1 0,solar rooftop,26.48127
Generator,FI1 0,solar-hsat,47.47778
Generator,FR0 0,load,inf
Generator,FR0 0,offwind-ac,496.88816
Generator,FR0 0,offwind-dc,130741.07846
Generator,FR0 0,onwind,17.52434
Generator,FR0 0,ror,6830.08473
Generator,FR0 0,solar,787049.18483
Generator,FR0 0,solar rooftop,619.55936
Generator,FR0 0,solar-hsat,57.30625
Generator,FR5 0,load,inf
Generator,FR5 0,offwind-ac,4.39819
Generator,FR5 0,offwind-dc,7.33434
Generator,FR5 0,onwind,11.86074
Generator,FR5 0,ror,148.06013
Generator,FR5 0,solar,10973.10882
Generator,FR5 0,solar rooftop,528.46617
Generator,FR5 0,solar-hsat,23.98908
Generator,GB2 0,load,inf
Generator,GB2 0,offwind-ac,111544.47157
Generator,GB2 0,offwind-dc,5.13195
Generator,GB2 0,onwind,292505.29075
Generator,GB2 0,ror,2203.275
Generator,GB2 0,solar,87.92647
Generator,GB2 0,solar rooftop,43.14901
Generator,GB2 0,solar-hsat,39.99749
Generator,GB3 0,load,inf
Generator,GB3 0,offwind-ac,5662.7519
Generator,GB3 0,offwind-dc,6.49127
Generator,GB3 0,onwind,17960.97816
Generator,GB3 0,ror,1432.9
Generator,GB3 0,solar,24.87973
Generator,GB3 0,solar rooftop,9.74787
